                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                0.69144,                0.41656,                0.98586,                0.98186,                0.98918,                0.98603,                 0.7389,                0.96436,                0.39416,                 1.0897,              0.0004951,              0.0004951,              0.0004951
                     53,                0.71104,                0.41153,                0.99235,                0.98412,                0.98918,                0.98781,                0.74028,                0.96512,                0.40192,                 1.0925,              0.0004852,              0.0004852,              0.0004852
                     54,                0.70208,                0.41639,                0.98376,                0.98044,                0.98853,                0.98763,                0.73914,                0.95932,                0.41383,                 1.1008,              0.0004753,              0.0004753,              0.0004753
                     55,                0.68445,                0.40497,                 0.9824,                0.98157,                0.98049,                0.98804,                0.73782,                0.98179,                0.41873,                 1.1042,              0.0004654,              0.0004654,              0.0004654
                     56,                0.69834,                0.41214,                0.98686,                0.97724,                0.99096,                0.98623,                0.73621,                0.96902,                0.41638,                 1.1007,              0.0004555,              0.0004555,              0.0004555
                     57,                0.69122,                0.41031,                0.97934,                0.97831,                0.99157,                0.98883,                0.73957,                0.96264,                0.40368,                 1.0893,              0.0004456,              0.0004456,              0.0004456
                     58,                0.68539,                0.39347,                0.98104,                0.97915,                0.99305,                0.99018,                  0.733,                0.99719,                0.41883,                 1.1123,              0.0004357,              0.0004357,              0.0004357
                     59,                0.68855,                 0.3973,                0.98131,                0.98411,                0.99037,                0.98857,                 0.7324,                0.97925,                0.41021,                 1.0892,              0.0004258,              0.0004258,              0.0004258
                     60,                0.67692,                 0.3988,                0.97566,                0.98739,                  0.985,                 0.9903,                0.73051,                0.99156,                0.41447,                 1.1008,              0.0004159,              0.0004159,              0.0004159
                     61,                0.68508,                0.39274,                0.97556,                0.97715,                0.99305,                0.98962,                0.74334,                 0.9574,                0.40124,                 1.0956,               0.000406,               0.000406,               0.000406
                     62,                0.67429,                0.37871,                0.97451,                0.98527,                0.98726,                0.98919,                0.74576,                0.95363,                0.39854,                 1.1006,              0.0003961,              0.0003961,              0.0003961
                     63,                0.67547,                0.37508,                0.96767,                0.98458,                0.98665,                0.98707,                0.74091,                0.95886,                0.38873,                 1.0902,              0.0003862,              0.0003862,              0.0003862
                     64,                0.64713,                0.37925,                0.96492,                0.98377,                0.99046,                0.98513,                0.73953,                0.95857,                0.40757,                 1.0869,              0.0003763,              0.0003763,              0.0003763
                     65,                0.64503,                0.37142,                0.96217,                 0.9848,                0.98814,                0.98735,                0.73795,                0.97543,                0.39407,                 1.0878,              0.0003664,              0.0003664,              0.0003664
                     66,                0.66358,                0.37503,                  0.965,                0.98428,                0.99095,                0.98905,                0.74062,                0.96525,                0.39647,                 1.0979,              0.0003565,              0.0003565,              0.0003565
                     67,                0.64191,                0.36289,                0.96063,                0.98564,                0.98712,                0.99125,                0.74937,                0.96131,                0.39453,                 1.0942,              0.0003466,              0.0003466,              0.0003466
                     68,                0.64767,                 0.3701,                0.96704,                0.98587,                0.98969,                0.98486,                0.74073,                0.94265,                0.41286,                 1.0889,              0.0003367,              0.0003367,              0.0003367
                     69,                0.63898,                 0.3704,                0.96349,                0.98519,                 0.9904,                0.98993,                0.75116,                0.95979,                0.40169,                 1.0963,              0.0003268,              0.0003268,              0.0003268
                     70,                0.64071,                0.36384,                0.95845,                0.98491,                0.99086,                0.99047,                0.75081,                0.93817,                0.38627,                 1.0853,              0.0003169,              0.0003169,              0.0003169
                     71,                0.63617,                0.36109,                0.95511,                  0.982,                 0.9864,                0.98964,                 0.7518,                0.94355,                0.39913,                  1.083,               0.000307,               0.000307,               0.000307
                     72,                0.63788,                0.36245,                0.95682,                0.98371,                0.98628,                  0.989,                 0.7525,                0.94878,                0.39111,                 1.0857,              0.0002971,              0.0002971,              0.0002971
                     73,                0.63267,                0.35937,                0.95278,                0.98339,                0.99227,                0.98944,                0.75379,                0.94146,                0.38426,                 1.0824,              0.0002872,              0.0002872,              0.0002872
                     74,                0.61534,                0.35283,                0.95297,                0.98457,                0.98835,                0.98951,                0.75031,                0.94683,                0.38465,                 1.0861,              0.0002773,              0.0002773,              0.0002773
                     75,                0.61253,                0.34821,                0.95321,                0.98398,                0.99307,                0.99074,                0.74845,                0.95931,                0.37517,                 1.0933,              0.0002674,              0.0002674,              0.0002674
                     76,                0.61249,                0.35077,                0.95157,                0.98293,                0.99064,                0.98864,                0.75102,                0.94465,                0.37876,                 1.0863,              0.0002575,              0.0002575,              0.0002575
                     77,                0.60262,                0.35379,                0.94562,                0.98244,                0.99186,                0.98872,                0.75286,                0.94807,                0.37784,                 1.0817,              0.0002476,              0.0002476,              0.0002476
                     78,                0.59966,                0.34367,                0.94366,                0.98615,                0.98993,                0.98998,                0.74802,                0.96762,                 0.3776,                 1.0941,              0.0002377,              0.0002377,              0.0002377
                     79,                 0.5991,                0.34052,                0.94359,                 0.9851,                0.98957,                0.99098,                0.75047,                 0.9498,                0.37874,                 1.0906,              0.0002278,              0.0002278,              0.0002278
                     80,                0.59126,                0.34042,                0.93779,                0.98569,                 0.9868,                0.98804,                0.74601,                0.96328,                0.37917,                 1.1005,              0.0002179,              0.0002179,              0.0002179
                     81,                0.59857,                0.33933,                0.94116,                0.98603,                0.98683,                0.99038,                0.74908,                0.96664,                0.37938,                 1.1014,               0.000208,               0.000208,               0.000208
                     82,                0.59188,                0.34114,                0.93501,                 0.9846,                0.99053,                0.98906,                0.74467,                0.96701,                0.39211,                 1.0968,              0.0001981,              0.0001981,              0.0001981
                     83,                0.58903,                0.33419,                0.94133,                 0.9852,                0.99011,                0.98921,                0.74752,                0.95403,                0.38314,                 1.0997,              0.0001882,              0.0001882,              0.0001882
                     84,                0.59398,                0.33615,                0.92926,                0.98541,                0.99305,                0.98654,                0.74712,                0.97356,                0.37353,                 1.1062,              0.0001783,              0.0001783,              0.0001783
                     85,                0.56668,                0.32896,                0.93364,                0.98515,                0.99278,                0.98852,                0.74721,                0.97742,                0.37599,                 1.1082,              0.0001684,              0.0001684,              0.0001684
                     86,                0.57946,                0.32165,                0.93531,                0.98475,                0.99007,                0.98812,                0.74939,                 0.9762,                0.37809,                 1.1001,              0.0001585,              0.0001585,              0.0001585
                     87,                0.56449,                0.32317,                0.93004,                0.98211,                0.99463,                0.99005,                0.75194,                0.95351,                0.36691,                 1.0911,              0.0001486,              0.0001486,              0.0001486
                     88,                 0.5647,                0.31786,                0.93353,                0.98519,                 0.9899,                0.98985,                0.75428,                0.94892,                0.37101,                 1.0917,              0.0001387,              0.0001387,              0.0001387
                     89,                0.55142,                0.31816,                0.93051,                0.98612,                0.98652,                0.98759,                0.75428,                0.94618,                0.36487,                 1.0964,              0.0001288,              0.0001288,              0.0001288
                     90,                0.55606,                0.31776,                0.92975,                0.98399,                0.98989,                 0.9894,                0.75108,                0.95876,                0.37043,                 1.0942,              0.0001189,              0.0001189,              0.0001189
